project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
SpinalHDL/VexRiscv,Procedural_Static_Allow_Unmanaged,239,55,0,2,11,42,13,2,40,11245,5,864
SpinalHDL/VexRiscv,Scripting_Dynamic_Disallow_Managed,13,1,0,0,0,1,0,0,1,147,2,208
StackExchange/Dapper,Procedural_Static_Disallow_Managed,2515,463,4,3,21,435,259,15,189,71583,162,3138
SwifterSwift/SwifterSwift,Functional_Static_Disallow_Managed,3126,456,0,114,9,333,312,5,139,85130,109,1216
SwifterSwift/SwifterSwift,Procedural_Static_Allow_Unmanaged,19,2,0,2,0,0,1,0,1,105,2,440
SwiftyJSON/SwiftyJSON,Functional_Static_Disallow_Managed,547,89,0,0,6,83,40,0,49,11204,81,1748
TTTAttributedLabel/TTTAttributedLabel,Procedural_Static_Allow_Unmanaged,529,150,1,6,12,131,101,2,47,6923,102,2019
Tencent/mars,Procedural_Static_Allow_Unmanaged,9138,831,1,3,34,793,164,5,662,868316,35,1063
Tencent/mars,Procedural_Static_Disallow_Managed,258,108,0,0,0,108,31,0,77,3988,9,1021
Tencent/mars,Scripting_Dynamic_Disallow_Managed,158,55,0,0,1,54,13,0,42,3768,12,1058
Tencent/tinker,Procedural_Static_Disallow_Managed,1053,339,23,9,36,271,192,4,143,21878,20,1163
Tencent/wcdb,Functional_Static_Disallow_Managed,2063,138,1,13,2,122,59,0,79,42519,8,500
Tencent/wcdb,Procedural_Static_Allow_Unmanaged,2836,139,0,1,6,132,42,0,97,131496,11,741
Tencent/wcdb,Procedural_Static_Disallow_Managed,215,31,0,5,6,20,14,0,17,7056,2,770
TheAlgorithms/Java,Procedural_Static_Disallow_Managed,1450,458,4,0,5,449,411,10,37,36447,177,1242
TheAlgorithms/Python,Scripting_Dynamic_Disallow_Managed,2565,254,11,0,4,239,127,1,126,76794,400,1239
Unitech/pm2,Scripting_Dynamic_Allow_Managed,5267,1215,37,36,49,1093,507,44,664,86580,193,2394
Unitech/pm2,Scripting_Dynamic_Disallow_Managed,9,1,0,0,0,1,1,0,0,42,3,1817
WenchaoD/FSCalendar,Functional_Static_Disallow_Managed,84,12,0,0,0,12,8,0,4,1637,6,1131
WenchaoD/FSCalendar,Procedural_Static_Allow_Unmanaged,2211,426,7,0,19,400,228,8,190,33021,24,1753
WordPress/WordPress,Scripting_Dynamic_Allow_Managed,97090,47942,256,110,993,46583,23292,559,24091,2802851,93,6098
Wox-launcher/Wox,Procedural_Static_Allow_Unmanaged,14,1,0,0,0,1,0,0,1,345,1,18
Wox-launcher/Wox,Procedural_Static_Disallow_Managed,4205,789,41,6,70,672,303,24,462,80366,76,2009
Wox-launcher/Wox,Scripting_Dynamic_Disallow_Managed,3027,315,0,0,1,314,1,0,314,430250,5,1207
XX-net/XX-Net,Procedural_Static_Allow_Unmanaged,34,2,0,0,0,2,2,0,0,109548,4,515
XX-net/XX-Net,Scripting_Dynamic_Allow_Managed,305,64,0,1,0,63,28,0,36,1134,9,1283
XX-net/XX-Net,Scripting_Dynamic_Disallow_Managed,7814,2091,4,24,21,2042,632,80,1379,753028,59,1683
activeadmin/activeadmin,Scripting_Dynamic_Allow_Managed,503,69,0,0,0,69,39,13,17,36914,53,3518
activeadmin/activeadmin,Scripting_Dynamic_Disallow_Managed,7727,1420,28,4,53,1335,659,16,745,65623,385,3525
adam-p/markdown-here,Scripting_Dynamic_Allow_Managed,744,268,2,14,9,243,176,2,90,57347,6,2330
adobe/brackets,Procedural_Static_Allow_Unmanaged,86,7,0,3,0,4,4,0,3,10150,11,1457
adobe/brackets,Scripting_Dynamic_Allow_Managed,24718,5855,134,73,187,5461,3158,57,2640,1169058,425,2911
adobe/brackets,Scripting_Dynamic_Disallow_Managed,11,3,0,0,0,3,1,0,2,430,6,1509
airbnb/Lona,Functional_Static_Disallow_Managed,3967,216,18,0,11,187,85,0,131,94794,11,775
airbnb/Lona,Scripting_Dynamic_Allow_Managed,3262,106,3,0,1,102,64,0,42,72735,10,755
airbnb/aerosolve,Functional_Static_Disallow_Managed,839,67,2,0,1,64,17,0,50,27170,19,1298
airbnb/aerosolve,Procedural_Static_Disallow_Managed,894,101,0,0,0,101,16,0,85,25909,12,769
airbnb/javascript,Scripting_Dynamic_Allow_Managed,637,106,1,0,1,104,43,0,63,5087,85,1953
airbnb/lottie-android,Procedural_Static_Disallow_Managed,3770,893,28,4,99,762,518,25,350,56960,69,1215
airbnb/lottie-ios,Functional_Static_Disallow_Managed,485,102,0,5,4,93,58,0,44,14290,31,689
airbnb/lottie-ios,Procedural_Static_Allow_Unmanaged,2284,244,5,3,50,186,69,5,170,27139,76,1177
airbnb/react-sketchapp,Scripting_Dynamic_Allow_Managed,1666,497,0,11,45,441,282,12,203,24058,38,1097
akka/akka,Functional_Static_Disallow_Managed,89853,12299,163,939,854,10343,6427,426,5446,1442225,764,3949
akka/akka,Procedural_Static_Disallow_Managed,14639,1596,15,66,58,1457,619,180,797,612988,295,3949
akka/akka,Scripting_Dynamic_Allow_Managed,185,6,0,0,0,6,0,0,6,27686,18,3323
akka/akka,Scripting_Dynamic_Disallow_Managed,75,13,0,0,0,13,6,1,6,895,21,2226
akveo/ngx-admin,Scripting_Dynamic_Allow_Managed,11,0,0,0,0,0,0,0,0,41,4,338
alcatraz/Alcatraz,Procedural_Static_Allow_Unmanaged,1034,110,1,0,5,104,63,1,46,9960,27,1226
alexazhou/VeryNginx,Procedural_Dynamic_Allow_Managed,353,88,4,2,3,79,24,0,64,5139,12,1000
alexazhou/VeryNginx,Scripting_Dynamic_Allow_Managed,243,62,1,0,0,61,30,0,32,3903,4,230
alexazhou/VeryNginx,Scripting_Dynamic_Disallow_Managed,72,9,0,0,0,9,5,0,4,1014,6,1237
algorithm-archivists/algorithm-archive,Functional_Static_Disallow_Managed,32,10,5,0,0,5,10,0,0,692,5,177
algorithm-archivists/algorithm-archive,Procedural_Static_Allow_Unmanaged,209,113,33,0,1,79,93,0,20,5656,20,678
algorithm-archivists/algorithm-archive,Procedural_Static_Disallow_Managed,199,78,47,0,0,31,76,0,2,3620,18,534
algorithm-archivists/algorithm-archive,Scripting_Dynamic_Allow_Managed,70,25,11,0,0,14,21,0,4,1450,12,630
algorithm-archivists/algorithm-archive,Scripting_Dynamic_Disallow_Managed,85,34,13,0,1,20,30,0,4,1654,26,665
