project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
laurilehmijoki/s3_website,Scripting_Dynamic_Disallow_Managed,456,48,2,0,17,29,31,1,16,3709,22,2384
leafo/moonscript,Procedural_Dynamic_Allow_Managed,1185,161,2,6,3,150,40,1,120,24301,15,2541
libgdx/libgdx,Procedural_Dynamic_Allow_Managed,116,3,0,0,0,3,3,0,0,2475,6,1874
libgdx/libgdx,Procedural_Static_Allow_Unmanaged,10189,639,0,23,10,606,395,13,231,2332320,38,3531
libgdx/libgdx,Procedural_Static_Disallow_Managed,46988,11005,76,389,1137,9403,6277,149,4579,1374418,618,3557
libgdx/libgdx,Scripting_Dynamic_Allow_Managed,35,4,0,0,0,4,1,0,3,4612,6,2060
libgdx/libgdx,Scripting_Dynamic_Disallow_Managed,113,6,0,0,0,6,3,0,3,34154,6,2980
libuv/libuv,Procedural_Static_Allow_Unmanaged,10206,2980,40,237,308,2395,2305,40,635,253377,355,3182
libuv/libuv,Scripting_Dynamic_Disallow_Managed,24,8,0,0,0,8,8,0,0,576,8,2729
lihaoyi/Ammonite,Functional_Static_Disallow_Managed,5620,927,14,17,86,810,475,12,440,72538,83,1746
lihaoyi/Ammonite,Procedural_Static_Disallow_Managed,8,1,0,0,0,1,0,0,1,239,3,1166
lihaoyi/Ammonite,Scripting_Dynamic_Disallow_Managed,15,4,0,0,2,2,3,0,1,155,2,306
linkerd/linkerd,Functional_Static_Disallow_Managed,4944,1180,28,31,183,938,836,27,317,103545,85,1422
linkerd/linkerd,Scripting_Dynamic_Allow_Managed,461,169,1,0,3,165,52,0,117,20705,15,1384
linnovate/mean,Scripting_Dynamic_Allow_Managed,2463,347,3,2,6,336,119,2,226,98080,142,1952
localstack/localstack,Procedural_Static_Disallow_Managed,285,54,0,0,0,54,13,0,41,10646,35,1209
localstack/localstack,Scripting_Dynamic_Allow_Managed,14,10,0,0,1,9,4,0,6,34,3,880
localstack/localstack,Scripting_Dynamic_Disallow_Managed,2001,711,6,3,20,682,216,0,495,30207,167,1211
luakit/luakit,Procedural_Dynamic_Allow_Managed,4167,726,14,7,23,682,289,5,432,63798,74,3455
luakit/luakit,Procedural_Static_Allow_Unmanaged,2871,560,1,21,104,434,227,4,329,39437,41,3390
luakit/luakit,Scripting_Dynamic_Allow_Managed,13,2,0,0,0,2,1,0,1,435,4,2615
luarocks/luarocks,Procedural_Dynamic_Allow_Managed,3479,719,9,15,26,669,417,17,285,51754,71,3887
luarocks/luarocks,Procedural_Static_Allow_Unmanaged,23,3,0,0,1,2,0,0,3,1650,8,3305
luvit/luvit,Procedural_Dynamic_Allow_Managed,3469,565,5,14,30,516,154,1,410,73304,72,2953
luvit/luvit,Procedural_Static_Allow_Unmanaged,1418,140,0,11,6,123,66,3,71,121019,24,1139
luvit/luvit,Scripting_Dynamic_Disallow_Managed,431,8,0,0,0,8,7,0,1,31647,6,1035
mac-cain13/R.swift,Functional_Static_Disallow_Managed,1655,180,0,1,1,178,98,3,79,18506,32,1811
magicalpanda/MagicalRecord,Procedural_Static_Allow_Unmanaged,4132,468,2,27,23,416,229,6,233,85405,83,3250
magicalpanda/MagicalRecord,Scripting_Dynamic_Disallow_Managed,10,0,0,0,0,0,0,0,0,448,3,1310
major/MySQLTuner-perl,Scripting_Dynamic_Allow_Managed,530,171,1,1,24,145,70,3,98,17486,99,4521
mame/quine-relay,Scripting_Dynamic_Disallow_Managed,580,64,0,1,7,56,22,4,38,11409,10,2300
marcuswestin/WebViewJavascriptBridge,Procedural_Static_Allow_Unmanaged,440,84,0,2,1,81,52,1,31,5259,40,2264
marmelab/react-admin,Scripting_Dynamic_Allow_Managed,12023,1926,18,53,85,1770,619,13,1294,288006,184,1253
mas-cli/mas,Functional_Static_Disallow_Managed,1263,78,0,28,2,48,18,4,56,55221,15,1335
mas-cli/mas,Procedural_Static_Allow_Unmanaged,602,14,0,0,0,14,1,0,13,13234,5,1335
mas-cli/mas,Scripting_Dynamic_Disallow_Managed,52,0,0,0,0,0,0,0,0,295,5,436
matomo-org/matomo,Procedural_Static_Disallow_Managed,60,10,0,0,0,10,9,0,1,2851,13,3907
matomo-org/matomo,Scripting_Dynamic_Allow_Managed,75511,20895,482,111,1084,19218,14270,847,5778,2677077,254,4522
matomo-org/matomo,Scripting_Dynamic_Disallow_Managed,228,75,2,2,4,67,49,2,24,4169,28,1098
matryer/bitbar,Procedural_Static_Allow_Unmanaged,356,49,0,2,4,43,19,0,30,4916,25,2077
matryer/bitbar,Scripting_Dynamic_Disallow_Managed,30,0,0,0,0,0,0,0,0,680,9,1
mattermost/mattermost-server,Procedural_Static_Allow_Unmanaged,42,8,0,0,8,0,8,0,0,273610,7,1461
mattermost/mattermost-server,Procedural_Static_Disallow_Managed,41533,8293,83,599,2790,4821,4733,140,3420,3621611,414,1640
mattermost/mattermost-server,Scripting_Dynamic_Allow_Managed,15176,4728,53,561,227,3887,2094,118,2516,362736,153,1522
memcached/memcached,Procedural_Static_Allow_Unmanaged,2030,677,6,125,208,338,433,27,217,43833,150,6012
memcached/memcached,Scripting_Dynamic_Allow_Managed,51,8,0,0,3,5,6,0,2,814,11,5677
mesos/chronos,Functional_Static_Disallow_Managed,1306,282,1,3,4,274,175,10,97,22022,75,2002
mesos/chronos,Scripting_Dynamic_Allow_Managed,758,48,0,0,0,48,26,1,21,116191,17,1443
mesos/chronos,Scripting_Dynamic_Disallow_Managed,33,11,1,0,0,10,5,0,6,849,9,1003
mesosphere/marathon,Functional_Static_Disallow_Managed,19850,5660,331,377,213,4739,3815,261,1584,329112,155,2339
mesosphere/marathon,Procedural_Static_Disallow_Managed,169,34,1,0,0,33,15,1,18,125934,49,2242
mesosphere/marathon,Scripting_Dynamic_Allow_Managed,1288,141,2,0,4,135,81,2,58,286457,27,1657
mesosphere/marathon,Scripting_Dynamic_Disallow_Managed,853,96,6,2,5,83,63,0,33,32902,32,1749
meteor/meteor,Procedural_Static_Allow_Unmanaged,266,7,0,1,1,5,4,0,3,19699,6,1004
meteor/meteor,Procedural_Static_Disallow_Managed,33,2,0,0,0,2,0,0,2,1138,4,1086
meteor/meteor,Scripting_Dynamic_Allow_Managed,55880,6296,105,65,307,5819,3525,118,2653,1036448,431,2940
meteor/meteor,Scripting_Dynamic_Disallow_Managed,29,4,0,0,0,4,3,0,1,841,10,2375
michaelficarra/CoffeeScriptRedux,Scripting_Dynamic_Allow_Managed,1726,496,10,2,15,469,264,12,220,118995,25,1770
micropython/micropython,Procedural_Static_Allow_Unmanaged,24916,2872,28,62,407,2375,1946,125,801,1496632,236,2256
micropython/micropython,Scripting_Dynamic_Disallow_Managed,3971,424,1,4,49,370,299,10,115,70279,110,2168
microsoft/CNTK,Procedural_Static_Allow_Unmanaged,25607,6300,64,103,302,5831,3579,250,2471,1105621,189,1788
microsoft/CNTK,Procedural_Static_Disallow_Managed,480,62,0,0,12,50,29,1,32,16132,30,1276
microsoft/CNTK,Scripting_Dynamic_Disallow_Managed,11021,2048,19,37,40,1952,853,33,1162,300376,140,1608
microsoft/TypeScript,Scripting_Dynamic_Allow_Managed,61182,4651,11,12,20,4608,2552,136,1963,6766245,257,1979
microsoft/VFSForGit,Procedural_Static_Allow_Unmanaged,1084,254,3,25,58,168,196,2,56,29477,12,939
microsoft/VFSForGit,Procedural_Static_Disallow_Managed,5882,778,0,27,318,433,635,23,120,131035,29,966
microsoft/calculator,Procedural_Static_Allow_Unmanaged,1897,761,0,0,49,712,671,20,70,85868,40,315
microsoft/calculator,Procedural_Static_Disallow_Managed,115,1,0,0,1,0,1,0,0,4193,8,262
microsoft/react-native-windows,Procedural_Static_Allow_Unmanaged,4227,1551,25,47,31,1448,1413,13,125,205217,58,1204
microsoft/react-native-windows,Procedural_Static_Disallow_Managed,6224,3388,32,204,98,3054,2844,47,497,117330,71,1452
microsoft/react-native-windows,Scripting_Dynamic_Allow_Managed,1963,974,5,10,3,956,851,3,120,68672,64,1448
microsoft/terminal,Procedural_Static_Allow_Unmanaged,3380,847,12,82,83,670,645,10,192,231883,89,456
microsoft/terminal,Procedural_Static_Disallow_Managed,238,46,0,3,1,42,18,0,28,12162,27,843
microsoft/vscode,Procedural_Static_Allow_Unmanaged,11,4,0,0,0,4,1,0,3,90,2,1329
microsoft/vscode,Scripting_Dynamic_Allow_Managed,3747,934,1,12,13,908,415,5,514,346089,126,1489
milessabin/shapeless,Functional_Static_Disallow_Managed,3091,384,6,0,9,369,185,6,193,76973,129,3005
minio/minio,Procedural_Static_Allow_Unmanaged,490,19,0,0,0,19,13,0,6,28225,6,1614
minio/minio,Procedural_Static_Disallow_Managed,26980,6348,213,409,524,5202,3695,91,2562,1443938,152,1867
minio/minio,Scripting_Dynamic_Allow_Managed,914,217,0,0,0,217,152,0,65,19241,16,1612
moby/moby,Procedural_Static_Allow_Unmanaged,111,12,0,0,0,12,10,0,2,163486,26,1878
moby/moby,Procedural_Static_Disallow_Managed,68954,12564,176,535,652,11201,10218,124,2222,2499663,1279,2509
moby/moby,Scripting_Dynamic_Allow_Managed,56,3,0,0,1,2,1,0,2,3986,7,693
moby/moby,Scripting_Dynamic_Disallow_Managed,90,18,0,0,1,17,14,0,4,2195,25,1315
mockery/mockery,Scripting_Dynamic_Allow_Managed,2175,518,1,2,21,494,214,123,181,32334,141,3928
mojolicious/mojo,Scripting_Dynamic_Allow_Managed,21704,3565,8,42,148,3367,1052,170,2343,208779,139,4061
moment/moment,Scripting_Dynamic_Allow_Managed,11200,1686,4,7,30,1645,474,12,1200,655018,524,3020
mongodb/mongo,Procedural_Static_Allow_Unmanaged,255716,19214,353,1835,2425,14601,10768,231,8215,15517429,615,4427
mongodb/mongo,Procedural_Static_Disallow_Managed,6226,107,0,0,31,76,75,0,32,1167940,16,3931
mongodb/mongo,Scripting_Dynamic_Allow_Managed,41960,4683,63,209,247,4164,2416,48,2219,1100506,424,4418
mongodb/mongo,Scripting_Dynamic_Disallow_Managed,8121,1032,5,41,236,750,664,5,363,329518,199,3778
mono/mono,Procedural_Static_Allow_Unmanaged,69509,18927,167,2171,2221,14368,13489,469,4969,1803220,455,6749
mono/mono,Procedural_Static_Disallow_Managed,290649,54632,332,1080,2049,51171,38721,828,15083,13693086,1070,6754
mono/mono,Scripting_Dynamic_Allow_Managed,6102,151,0,2,5,144,116,2,33,634839,72,6734
mono/mono,Scripting_Dynamic_Disallow_Managed,421,122,0,0,3,119,51,0,71,11443,50,4532
morrisjs/morris.js,Scripting_Dynamic_Allow_Managed,762,163,0,0,5,158,60,0,103,29890,42,1111
mozilla-mobile/firefox-ios,Functional_Static_Disallow_Managed,16568,12228,129,287,481,11331,8254,145,3829,307804,175,1862
mozilla-mobile/firefox-ios,Procedural_Static_Allow_Unmanaged,3626,2006,14,0,7,1985,1543,0,463,1289384,26,1681
mozilla-mobile/firefox-ios,Scripting_Dynamic_Allow_Managed,314,274,3,1,14,256,194,6,74,9004,26,1813
mozilla-mobile/firefox-ios,Scripting_Dynamic_Disallow_Managed,119,67,2,0,1,64,46,0,21,6272,14,1759
mozilla/DeepSpeech,Procedural_Static_Allow_Unmanaged,1591,79,0,1,15,63,27,15,37,318539,13,1016
mozilla/DeepSpeech,Procedural_Static_Disallow_Managed,151,23,0,0,0,23,12,5,6,3103,6,396
mozilla/DeepSpeech,Scripting_Dynamic_Allow_Managed,79,25,0,0,0,25,9,1,15,833,10,1146
mozilla/DeepSpeech,Scripting_Dynamic_Disallow_Managed,1074,371,1,4,5,361,142,3,226,43748,66,1286
mperham/sidekiq,Scripting_Dynamic_Allow_Managed,210,26,0,0,0,26,6,0,20,15321,29,2731
mperham/sidekiq,Scripting_Dynamic_Disallow_Managed,3604,849,8,113,37,691,410,51,388,35897,304,2866
mpv-player/mpv,Functional_Static_Disallow_Managed,121,54,1,8,5,40,45,7,2,3833,2,594
mpv-player/mpv,Procedural_Dynamic_Allow_Managed,537,143,2,3,11,127,95,2,46,11782,58,2266
mpv-player/mpv,Procedural_Static_Allow_Unmanaged,75023,17486,228,521,1927,14810,12649,529,4308,1557619,405,6863
mpv-player/mpv,Scripting_Dynamic_Allow_Managed,111,18,0,0,2,16,15,0,3,4184,26,6795
mpv-player/mpv,Scripting_Dynamic_Disallow_Managed,737,147,1,6,8,132,125,2,20,6482,84,6693
mrdoob/three.js,Procedural_Static_Allow_Unmanaged,55,6,0,0,0,6,6,0,0,6785,6,2499
mrdoob/three.js,Procedural_Static_Disallow_Managed,18,1,0,0,0,1,1,0,0,0,5,2561
mrdoob/three.js,Scripting_Dynamic_Allow_Managed,45179,7136,58,78,325,6675,2834,289,4013,5856848,1064,3518
mrdoob/three.js,Scripting_Dynamic_Disallow_Managed,1190,272,19,5,13,235,195,5,72,63302,125,2973
mui-org/material-ui,Scripting_Dynamic_Allow_Managed,80610,26160,131,49,274,25706,8633,5325,12202,696584,1274,1940
munin-monitoring/munin,Procedural_Static_Disallow_Managed,396,58,0,0,3,55,53,0,5,5773,7,3291
munin-monitoring/munin,Scripting_Dynamic_Allow_Managed,2783,725,3,6,33,683,386,6,333,62230,77,5801
munin-monitoring/munin,Scripting_Dynamic_Disallow_Managed,42,4,0,0,0,4,1,0,3,790,7,3785
mxcl/PromiseKit,Functional_Static_Disallow_Managed,1429,422,2,12,2,406,318,1,103,26435,67,1967
mxcl/PromiseKit,Procedural_Static_Allow_Unmanaged,884,277,2,6,5,264,202,0,75,15096,44,1954
mxcl/PromiseKit,Scripting_Dynamic_Disallow_Managed,20,4,0,0,0,4,3,0,1,189,2,340
nagadomi/waifu2x,Procedural_Dynamic_Allow_Managed,740,133,0,7,8,118,32,5,96,13057,5,1655
nagadomi/waifu2x,Scripting_Dynamic_Allow_Managed,16,2,0,0,0,2,2,0,0,478,2,322
nestjs/nest,Scripting_Dynamic_Allow_Managed,3069,92,0,1,9,82,27,0,65,57007,16,954
netdata/netdata,Procedural_Static_Allow_Unmanaged,7094,2715,17,112,272,2314,1628,63,1024,255383,74,2365
netdata/netdata,Scripting_Dynamic_Allow_Managed,1132,369,2,7,13,347,215,13,141,86019,67,2361
netdata/netdata,Scripting_Dynamic_Disallow_Managed,1983,767,9,10,14,734,354,14,399,64235,101,1277
netty/netty,Procedural_Static_Allow_Unmanaged,284,83,2,7,24,50,45,0,38,9374,28,2118
netty/netty,Procedural_Static_Disallow_Managed,43138,11005,153,702,1989,8161,5144,503,5358,915776,553,4142
nextcloud/server,Scripting_Dynamic_Allow_Managed,183639,20209,480,139,1020,18570,9452,273,10484,3578181,864,3562
nginx/nginx,Procedural_Static_Allow_Unmanaged,16759,4569,43,106,917,3503,2524,62,1983,353644,64,6320
nginx/nginx,Scripting_Dynamic_Allow_Managed,255,9,0,0,1,8,5,0,4,553,7,4241
nicklockwood/iCarousel,Procedural_Static_Allow_Unmanaged,1335,128,1,4,3,120,80,2,46,62958,17,2029
nicolaskruchten/pivottable,Scripting_Dynamic_Allow_Managed,988,246,2,0,0,244,75,6,165,20938,33,2069
nikic/PHP-Parser,Scripting_Dynamic_Allow_Managed,4926,712,0,0,24,688,482,5,225,140640,67,3118
niklasvh/html2canvas,Scripting_Dynamic_Allow_Managed,1866,572,5,3,85,479,281,3,288,170958,38,2993
ninjaprox/NVActivityIndicatorView,Functional_Static_Disallow_Managed,873,80,1,0,0,79,34,0,46,12363,35,1524
ninjaprox/NVActivityIndicatorView,Procedural_Static_Allow_Unmanaged,10,0,0,0,0,0,0,0,0,97,2,1198
nlohmann/json,Procedural_Static_Allow_Unmanaged,5718,1273,6,17,78,1172,632,14,627,389470,108,2328
nlohmann/json,Scripting_Dynamic_Disallow_Managed,29,2,0,0,0,2,2,0,0,9317,3,1941
nodejs/node,Procedural_Dynamic_Allow_Managed,76,0,0,0,0,0,0,0,0,12375,9,3053
nodejs/node,Procedural_Static_Allow_Unmanaged,105141,13049,61,411,1904,10673,8554,74,4421,8869376,614,3946
nodejs/node,Procedural_Static_Disallow_Managed,15,1,0,0,0,1,1,0,0,1893,7,1365
nodejs/node,Scripting_Dynamic_Allow_Managed,117885,17890,160,722,1057,15951,14834,194,2862,5222428,2298,3943
nodejs/node,Scripting_Dynamic_Disallow_Managed,7604,778,5,5,4,764,470,0,308,462892,144,3924
noflo/noflo,Scripting_Dynamic_Allow_Managed,2650,572,0,6,15,551,310,2,260,44272,25,2961
nostra13/Android-Universal-Image-Loader,Procedural_Static_Disallow_Managed,1912,180,1,5,45,129,100,4,76,34138,32,2689
nothings/stb,Procedural_Static_Allow_Unmanaged,1494,445,3,4,51,387,164,18,263,122918,153,1904
nsqio/nsq,Procedural_Static_Disallow_Managed,3701,512,8,36,46,422,299,4,209,70175,96,2760
nsqio/nsq,Scripting_Dynamic_Allow_Managed,83,20,0,0,0,20,2,0,18,1731,6,1513
nsqio/nsq,Scripting_Dynamic_Disallow_Managed,27,8,0,0,0,8,5,0,3,1157,2,1240
numpy/numpy,Procedural_Static_Allow_Unmanaged,10967,3638,38,50,441,3109,1959,111,1568,1191772,303,6550
numpy/numpy,Scripting_Dynamic_Allow_Managed,9,1,0,0,0,1,0,0,1,1072,5,3918
numpy/numpy,Scripting_Dynamic_Disallow_Managed,26211,8637,62,106,380,8089,5112,204,3321,607846,949,6560
nvbn/thefuck,Scripting_Dynamic_Disallow_Managed,2722,472,2,8,46,416,185,4,283,26112,126,1673
nwjs/nw.js,Procedural_Static_Allow_Unmanaged,4966,1786,5,38,43,1700,722,18,1046,98429,51,2920
nwjs/nw.js,Procedural_Static_Disallow_Managed,18,0,0,0,0,0,0,0,0,551,5,1302
nwjs/nw.js,Scripting_Dynamic_Allow_Managed,1936,263,3,1,14,245,180,1,82,138797,37,2907
nwjs/nw.js,Scripting_Dynamic_Disallow_Managed,694,138,0,27,6,105,72,2,64,12738,24,2528
obsproject/obs-studio,Procedural_Dynamic_Allow_Managed,101,1,0,0,1,0,1,0,0,118278,5,2017
obsproject/obs-studio,Procedural_Static_Allow_Unmanaged,13225,3460,20,217,440,2783,2473,74,913,508604,245,2261
obsproject/obs-studio,Scripting_Dynamic_Disallow_Managed,17,3,0,0,0,3,3,0,0,901,4,1699
ocornut/imgui,Procedural_Static_Allow_Unmanaged,8952,2133,24,32,172,1905,1118,31,984,178596,185,1947
octalmage/robotjs,Procedural_Static_Allow_Unmanaged,338,82,0,1,6,75,38,1,43,6031,38,1912
octalmage/robotjs,Scripting_Dynamic_Allow_Managed,71,8,0,0,1,7,2,0,6,1019,4,1274
octobercms/october,Scripting_Dynamic_Allow_Managed,11684,2591,59,11,114,2407,1571,87,933,826233,377,1952
omniauth/omniauth,Scripting_Dynamic_Disallow_Managed,2088,215,3,1,4,207,71,2,142,21782,172,3519
onevcat/Kingfisher,Functional_Static_Disallow_Managed,2934,414,4,8,50,352,145,0,269,46267,132,1707
onevcat/Kingfisher,Procedural_Static_Allow_Unmanaged,320,0,0,0,0,0,0,0,0,2129,1,1593
onivim/oni,Scripting_Dynamic_Allow_Managed,358,125,1,3,1,120,66,8,51,294817,22,676
openai/gym,Scripting_Dynamic_Disallow_Managed,1977,569,9,6,12,542,313,2,254,29152,199,1317
opencv/opencv,Functional_Static_Disallow_Managed,22,2,0,0,0,2,1,0,1,183,7,960
opencv/opencv,Procedural_Static_Allow_Unmanaged,57398,14028,154,184,810,12880,7203,313,6512,3602776,1244,3500
opencv/opencv,Procedural_Static_Disallow_Managed,3103,912,1,3,39,869,572,11,329,110755,83,3368
opencv/opencv,Scripting_Dynamic_Allow_Managed,74,24,0,0,0,24,5,1,18,5525,24,3311
opencv/opencv,Scripting_Dynamic_Disallow_Managed,3887,805,4,17,13,771,460,4,341,107526,196,3494
openfaas/faas,Procedural_Static_Disallow_Managed,14263,124,2,0,10,112,98,0,26,2325014,39,1082
openfaas/faas,Scripting_Dynamic_Allow_Managed,84,16,0,0,0,16,12,0,4,2006,15,1067
openfaas/faas,Scripting_Dynamic_Disallow_Managed,26,2,0,0,0,2,1,0,1,1324,5,893
openssl/openssl,Procedural_Static_Allow_Unmanaged,60672,12525,438,292,1981,9814,3669,128,8728,1722931,501,7658
openssl/openssl,Scripting_Dynamic_Allow_Managed,5429,1099,22,10,40,1027,282,29,788,289592,83,7653
openssl/openssl,Scripting_Dynamic_Disallow_Managed,8,0,0,0,0,0,0,0,0,79,6,1654
openwrt/luci,Procedural_Dynamic_Allow_Managed,8919,1894,36,12,71,1775,1025,20,849,167787,180,4291
openwrt/luci,Procedural_Static_Allow_Unmanaged,1184,180,6,1,29,144,86,4,90,98637,15,4212
openwrt/luci,Scripting_Dynamic_Allow_Managed,843,222,8,1,11,202,171,0,51,57154,42,4268
orlabs/orange,Procedural_Dynamic_Allow_Managed,689,89,0,0,2,87,56,0,33,24685,24,1340
orlabs/orange,Scripting_Dynamic_Allow_Managed,269,22,0,0,1,21,8,0,14,16778,10,1337
ornicar/lila,Functional_Static_Disallow_Managed,48893,4167,48,86,380,3653,1281,72,2814,371197,85,2847
ornicar/lila,Procedural_Static_Disallow_Managed,412,33,0,0,1,32,16,1,16,28752,7,2683
ornicar/lila,Scripting_Dynamic_Allow_Managed,11629,1897,34,40,161,1662,577,45,1275,233216,52,2763
ornicar/lila,Scripting_Dynamic_Disallow_Managed,37,6,0,0,0,6,0,0,6,378,5,2726
osquery/osquery,Procedural_Static_Allow_Unmanaged,15017,3035,17,120,144,2754,1771,34,1230,327815,228,1956
osquery/osquery,Scripting_Dynamic_Allow_Managed,146,0,0,0,0,0,0,0,0,23307,3,1246
osquery/osquery,Scripting_Dynamic_Disallow_Managed,1207,140,0,4,8,128,67,0,73,17062,64,1958
overtrue/wechat,Scripting_Dynamic_Allow_Managed,6580,2139,1,24,62,2052,1393,77,669,98484,123,1457
p0pr0ck5/lua-resty-waf,Procedural_Dynamic_Allow_Managed,912,147,6,2,3,136,100,0,47,21481,7,1243
p0pr0ck5/lua-resty-waf,Scripting_Dynamic_Allow_Managed,94,29,2,1,0,26,17,0,12,2405,1,338
palantir/blueprint,Scripting_Dynamic_Allow_Managed,563,154,0,1,4,149,124,0,30,462682,20,1128
pallets/flask,Scripting_Dynamic_Disallow_Managed,3167,663,4,3,11,645,320,8,335,47261,335,3519
pandas-dev/pandas,Procedural_Static_Allow_Unmanaged,913,303,8,2,45,248,187,11,105,159858,85,3779
pandas-dev/pandas,Scripting_Dynamic_Disallow_Managed,54414,15554,168,64,549,14773,8604,239,6711,1475851,1859,3780
paradoxxxzero/butterfly,Scripting_Dynamic_Allow_Managed,614,242,6,4,16,216,54,2,186,38999,5,1734
paradoxxxzero/butterfly,Scripting_Dynamic_Disallow_Managed,389,151,2,1,8,140,34,1,116,4731,15,1734
parcel-bundler/parcel,Scripting_Dynamic_Allow_Managed,7167,1382,71,79,87,1145,830,28,524,124665,205,857
pbatard/rufus,Procedural_Static_Allow_Unmanaged,3549,1595,45,33,131,1386,1116,54,425,133064,27,2927
pbatard/rufus,Procedural_Static_Disallow_Managed,14,5,0,0,0,5,2,0,3,1669,1,364
phacility/phabricator,Scripting_Dynamic_Allow_Managed,78540,15103,296,525,811,13471,8782,70,6251,1299415,326,3248
phalcon/cphalcon,Procedural_Static_Allow_Unmanaged,60473,11351,23,36,1740,9552,5500,24,5827,28620846,93,2828
phalcon/cphalcon,Scripting_Dynamic_Allow_Managed,48114,2734,10,17,112,2595,1109,68,1557,2916453,178,2821
phanan/koel,Scripting_Dynamic_Allow_Managed,3653,837,10,2,41,784,472,15,350,55241,30,1450
philc/vimium,Scripting_Dynamic_Allow_Managed,4399,987,21,33,63,870,617,23,347,49716,124,3681
php/php-src,Procedural_Static_Allow_Unmanaged,170603,49823,341,1157,7213,41112,24170,772,24881,10441592,899,7552
php/php-src,Procedural_Static_Disallow_Managed,181,13,0,0,0,13,2,0,11,3839,11,5155
php/php-src,Scripting_Dynamic_Allow_Managed,5683,1228,7,13,49,1159,654,15,559,141056,218,7552
pingcap/tidb,Procedural_Static_Disallow_Managed,45651,5773,150,351,282,4990,2607,72,3094,1765169,425,1557
pjreddie/darknet,Procedural_Static_Allow_Unmanaged,2620,455,0,14,14,427,272,8,175,73621,9,1772
pjreddie/darknet,Scripting_Dynamic_Disallow_Managed,21,1,0,0,0,1,1,0,0,454,1,969
pkulchenko/ZeroBraneStudio,Procedural_Dynamic_Allow_Managed,6658,1563,37,19,69,1438,1088,37,438,309938,58,4100
pkulchenko/ZeroBraneStudio,Procedural_Static_Allow_Unmanaged,16,4,0,0,0,4,1,0,3,728,3,2456
plataformatec/devise,Scripting_Dynamic_Disallow_Managed,6405,845,12,12,46,775,371,8,466,46968,495,3724
plataformatec/simple_form,Scripting_Dynamic_Disallow_Managed,3065,433,0,17,102,314,264,4,165,26592,192,3621
playframework/playframework,Functional_Static_Disallow_Managed,23517,4934,39,103,200,4592,2588,43,2303,352400,532,3011
playframework/playframework,Procedural_Static_Disallow_Managed,8770,2017,14,21,37,1945,941,6,1070,160717,201,2997
playframework/playframework,Scripting_Dynamic_Allow_Managed,255,40,3,0,0,37,29,0,11,56274,31,2877
pocorall/scaloid,Functional_Static_Disallow_Managed,1001,138,0,0,2,136,41,1,96,60451,17,2128
pocorall/scaloid,Procedural_Static_Disallow_Managed,9,2,0,0,0,2,0,0,2,285,4,852
polynote/polynote,Functional_Static_Disallow_Managed,1885,585,5,25,60,495,355,2,228,39024,6,324
polynote/polynote,Scripting_Dynamic_Allow_Managed,494,99,9,0,16,74,61,1,37,11903,3,287
polynote/polynote,Scripting_Dynamic_Disallow_Managed,23,6,0,0,0,6,0,0,6,26764,2,176
pooler/cpuminer,Procedural_Static_Allow_Unmanaged,429,52,1,4,9,38,26,1,25,14266,14,2967
pret/pokecrystal,Procedural_Static_Allow_Unmanaged,50,29,0,0,5,24,7,0,22,2084,7,905
pret/pokecrystal,Scripting_Dynamic_Disallow_Managed,775,148,1,0,3,144,48,0,100,41961,14,2651
pret/pokered,Procedural_Static_Allow_Unmanaged,109,2,0,0,0,2,1,0,1,3794,5,2576
pret/pokered,Scripting_Dynamic_Disallow_Managed,302,43,0,0,0,43,39,0,4,12967,9,2555
prettier/prettier,Scripting_Dynamic_Allow_Managed,10637,2756,164,45,43,2504,1550,15,1191,264786,253,1105
prisma/prisma,Functional_Static_Disallow_Managed,18938,1659,27,31,125,1476,555,12,1092,354438,17,746
prisma/prisma,Procedural_Static_Allow_Unmanaged,15,4,0,0,1,3,1,0,3,88,2,281
prisma/prisma,Procedural_Static_Disallow_Managed,128,30,0,1,5,24,12,0,18,1620,4,666
prisma/prisma,Scripting_Dynamic_Allow_Managed,513,125,0,0,0,125,16,0,109,19093,17,656
prisma/prisma,Scripting_Dynamic_Disallow_Managed,141,18,0,0,0,18,4,0,14,1766,3,113
project-everest/hacl-star,Procedural_Static_Allow_Unmanaged,9145,143,0,0,10,133,22,6,115,593705,19,719
prometheus/prometheus,Procedural_Static_Disallow_Managed,24408,3222,26,183,279,2734,2038,43,1141,3061612,441,2573
prometheus/prometheus,Scripting_Dynamic_Allow_Managed,313,82,2,0,4,76,62,0,20,37934,58,2485
protocolbuffers/protobuf,Functional_Static_Disallow_Managed,7,2,0,0,0,2,1,0,1,630,2,521
protocolbuffers/protobuf,Procedural_Static_Allow_Unmanaged,13755,2133,5,28,167,1933,1128,11,994,961779,369,4164
protocolbuffers/protobuf,Procedural_Static_Disallow_Managed,9004,1059,2,8,23,1026,479,15,565,1017368,123,4150
protocolbuffers/protobuf,Scripting_Dynamic_Allow_Managed,1351,295,1,7,46,241,102,1,192,74809,43,1435
protocolbuffers/protobuf,Scripting_Dynamic_Disallow_Managed,1606,200,0,2,5,193,138,0,62,65807,101,4142
proxyee-down-org/proxyee-down,Procedural_Static_Disallow_Managed,1129,20,0,0,0,20,14,0,6,22874,4,701
