project,language,commits,bcommits,tins,devs,max_commit_age
angular-ui/angular-google-maps,CoffeeScript,2582,689,34989,87,1262
angular-ui/angular-google-maps,JavaScript,3648,863,988484,81,1603
angular-ui/ui-router,JavaScript,1860,575,393002,139,2170
angular-ui/ui-router,TypeScript,2777,696,57739,60,1853
angular/angular,JavaScript,13149,2615,400105,185,1904
angular/angular,TypeScript,73897,22017,1507639,713,1757
angular/angular-cli,JavaScript,1677,387,178017,96,1665
angular/angular-cli,TypeScript,11108,3614,216450,334,1671
angular/angular.js,Java,45,4,2,9,2912
angular/angular.js,JavaScript,26163,9022,646606,1182,3592
angular/angular.js,Ruby,10,1,71,3,1334
angular/components,JavaScript,455,122,7549,36,1435
angular/components,TypeScript,21987,8579,374074,279,1435
ansible/ansible,C#,33,17,4522,5,750
ansible/ansible,JavaScript,351,50,4963,18,2729
ansible/ansible,Python,76098,29472,2585532,4828,2866
ant-design/ant-design,JavaScript,6527,1748,83636,297,1676
ant-design/ant-design,TypeScript,6286,2386,66690,597,1328
ant-design/ant-design-pro,JavaScript,3992,1282,60594,198,830
ant-design/ant-design-pro,TypeScript,785,289,10369,64,743
antirez/redis,C,10979,3098,343846,341,3915
antirez/redis,C++,17,0,1997,1,3302
antirez/redis,Python,11,2,625,2,3348
antirez/redis,Ruby,261,59,6809,18,3616
apache/dubbo,C++,14,2,2420,1,97
apache/dubbo,Java,27660,3017,814582,298,2973
apache/incubator-apisix,Lua,888,185,16778,21,244
apache/incubator-apisix,Perl,42,7,399,7,213
apache/incubator-mxnet,C,6201,2602,255499,319,1685
apache/incubator-mxnet,C++,5166,2448,167416,333,1685
apache/incubator-mxnet,Java,117,23,7329,10,1310
apache/incubator-mxnet,JavaScript,121,60,15991,20,1279
apache/incubator-mxnet,Objective-C,26,6,1358,3,764
apache/incubator-mxnet,Perl,624,225,50459,22,993
apache/incubator-mxnet,Python,10363,4765,386177,604,1627
apache/incubator-mxnet,Scala,2126,550,51900,58,1429
apache/incubator-weex,C,6610,717,438121,100,1268
apache/incubator-weex,C++,1348,318,134544,42,761
apache/incubator-weex,Java,14430,2579,479642,128,1325
apache/incubator-weex,JavaScript,9465,1753,1594537,82,1297
apache/incubator-weex,Objective-C,5301,1628,131556,146,1276
apache/incubator-weex,Python,67,0,22205,7,452
apache/openwhisk,C,11,2,31,5,574
apache/openwhisk,Go,746,173,31826,29,530
apache/openwhisk,Java,282,49,2732,35,1327
apache/openwhisk,JavaScript,393,55,11399,49,1322
apache/openwhisk,Python,293,59,5300,40,1329
apache/openwhisk,Scala,7489,1031,178595,121,1387
apache/openwhisk,Swift,123,14,1468,21,1181
apache/predictionio,Java,1141,39,9658,13,1634
apache/predictionio,JavaScript,542,16,67319,11,1634
apache/predictionio,Python,359,42,7141,26,2029
apache/predictionio,Ruby,55,4,788,8,1191
apache/predictionio,Scala,9656,913,201771,77,2468
apache/spark,C,26,0,49,4,1651
apache/spark,Java,8606,1885,315814,428,3537
apache/spark,JavaScript,209,52,10295,63,3296
apache/spark,Python,6242,1472,157879,541,3403
apache/spark,Ruby,47,9,507,28,2618
apache/spark,Scala,86113,22245,1712826,1832,3538
apollographql/apollo-client,JavaScript,363,60,28119,31,1357
apollographql/apollo-client,TypeScript,5808,1213,221329,256,1334
apple/swift,C,40613,6537,547658,356,3433
apple/swift,C++,101525,20379,1956311,532,3433
apple/swift,JavaScript,9,2,719,7,2179
apple/swift,Objective-C,1321,240,27321,92,2758
apple/swift,Python,2700,612,55126,162,2695
apple/swift,Ruby,11,0,2179,4,711
apple/swift,Swift,132740,24359,1597909,665,3432
apple/swift-package-manager,C,114,6,857,10,1288
apple/swift-package-manager,Swift,11841,1810,165782,236,1501
aria2/aria2,C,10965,1383,153775,23,4957
aria2/aria2,C++,18687,2657,310501,29,4984
aria2/aria2,Python,14,2,576,2,2103
arut/nginx-rtmp-module,C,1407,398,51485,10,2029
aspnet/AspNetCore,C,2304,198,114661,16,1184
aspnet/AspNetCore,C#,172271,20514,3478947,672,2190
aspnet/AspNetCore,C++,2014,154,151307,19,1184
aspnet/AspNetCore,Java,797,28,11459,5,482
aspnet/AspNetCore,JavaScript,4435,512,820537,78,2129
aspnet/AspNetCore,Python,197,1,16847,6,389
aspnet/AspNetCore,TypeScript,3933,718,94986,94,2029
aspnet/AspNetCore.Docs,C#,18678,2402,380193,238,1712
aspnet/AspNetCore.Docs,JavaScript,6492,677,2673901,57,1708
aspnet/AspNetCore.Docs,Python,92,5,1729,11,626
aspnet/AspNetCore.Docs,TypeScript,76,14,1271,10,873
aspnet/EntityFrameworkCore,C#,94379,21051,2134172,214,2147
aspnet/Mvc,C#,40342,8071,745148,196,1810
aspnet/Mvc,JavaScript,55,7,443,12,1230
aspnetboilerplate/aspnetboilerplate,C#,16842,4221,236066,127,2305
aspnetboilerplate/aspnetboilerplate,JavaScript,1779,221,494310,27,2304
aspnetboilerplate/aspnetboilerplate,TypeScript,28,10,710,6,1152
astaxie/beego,Go,6842,1542,304645,394,2814
atom/vim-mode,CoffeeScript,1502,370,19176,84,1020
awesomeWM/awesome,C,11793,1548,129882,126,4459
awesomeWM/awesome,Lua,4747,1250,90290,159,4222
awesomeWM/awesome,Python,15,0,381,2,53
axios/axios,JavaScript,1060,208,47001,123,1938
axios/axios,TypeScript,62,10,836,30,1811
axkibe/lsyncd,C,345,62,15740,5,3569
axkibe/lsyncd,Lua,686,150,23786,19,2702
babel/babel,JavaScript,74572,12231,903557,707,2634
babel/babel,TypeScript,62,17,311,17,560
bang590/JSPatch,C,316,48,28347,20,1038
bang590/JSPatch,JavaScript,183,38,6733,29,1038
bang590/JSPatch,Objective-C,444,121,12100,50,1038
barryvdh/laravel-debugbar,JavaScript,14,3,580,5,1482
barryvdh/laravel-debugbar,PHP,850,224,10988,93,2283
barryvdh/laravel-ide-helper,PHP,488,163,19303,114,2396
basecamp/pow,CoffeeScript,395,49,4373,11,2624
basecamp/pow,JavaScript,392,33,8816,13,2650
basecamp/trix,CoffeeScript,4817,836,43526,20,2108
basecamp/trix,JavaScript,89,0,32264,2,2086
basecamp/trix,Ruby,46,1,751,2,597
bcit-ci/CodeIgniter,JavaScript,121,21,3813,19,4623
bcit-ci/CodeIgniter,PHP,15851,3672,284086,523,4811
bcit-ci/CodeIgniter,Python,75,4,513,15,2905
