project,language,commits,bcommits,tins,devs,max_commit_age
sbt/sbt,Java,737,89,6994,35,3806
sbt/sbt,Python,46,10,535,3,625
sbt/sbt,Scala,19192,3825,279723,206,3819
scala-js/scala-js,JavaScript,345,141,6834,12,2376
scala-js/scala-js,Scala,16043,6877,438563,76,3140
scala-native/scala-native,C,417,60,17575,22,1357
scala-native/scala-native,C++,47,15,10410,11,1211
scala-native/scala-native,Python,24,3,1535,3,1110
scala-native/scala-native,Scala,7722,1827,294262,83,1437
scala/scala,C#,139,3,2095,7,1862
scala/scala,Java,9057,1200,311233,91,6062
scala/scala,JavaScript,230,66,18899,34,5800
scala/scala,Scala,114893,22788,1711542,587,6143
scalanlp/breeze,Java,36,1,228,7,3747
scalanlp/breeze,Scala,10422,1196,230678,129,4137
scalatra/scalatra,Java,31,2,2692,8,3072
scalatra/scalatra,JavaScript,105,10,25098,7,2336
scalatra/scalatra,Scala,6241,827,76512,119,3833
scalaz/scalaz,Java,227,1,32783,12,1336
scalaz/scalaz,Scala,16099,1672,218757,254,3973
scikit-learn/scikit-learn,C,2230,408,2033899,103,3579
scikit-learn/scikit-learn,C++,227,50,88456,40,3606
scikit-learn/scikit-learn,JavaScript,40,10,35844,9,2789
scikit-learn/scikit-learn,Python,41474,10432,752245,1610,3626
scrapy/scrapy,Python,11414,1697,158688,281,4178
scwang90/SmartRefreshLayout,Java,3356,16,79976,9,807
sebastianbergmann/phpunit,JavaScript,43,0,260,2,2270
sebastianbergmann/phpunit,PHP,28557,4651,320453,422,4911
serbanghita/Mobile-Detect,PHP,759,153,17978,75,3769
serverless/serverless,C#,22,2,170,7,450
serverless/serverless,Go,26,1,504,6,643
serverless/serverless,Java,61,4,1024,15,1179
serverless/serverless,JavaScript,20478,2989,690448,435,1695
serverless/serverless,Python,68,7,407,26,1387
serverless/serverless,Ruby,17,2,163,8,664
serverless/serverless,TypeScript,12,0,38,9,611
sferik/rails_admin,CoffeeScript,109,36,855,36,2843
sferik/rails_admin,JavaScript,2087,139,345070,66,3361
sferik/rails_admin,Ruby,6844,1474,78395,301,3381
shadowsocks/ShadowsocksX-NG,C,1166,4,63802,8,1196
shadowsocks/ShadowsocksX-NG,Objective-C,158,18,10952,14,1240
shadowsocks/ShadowsocksX-NG,Swift,1291,65,54916,24,1250
shadowsocks/shadowsocks-windows,C#,2161,311,64599,70,2509
shuzheng/zheng,Java,2046,0,58109,6,771
shuzheng/zheng,JavaScript,624,0,36847,4,722
sim-/tgy,Assembly,341,99,9530,5,2113
sinatra/sinatra,Ruby,3539,738,56084,302,4430
sindresorhus/refined-github,JavaScript,1357,272,14986,96,1164
sindresorhus/refined-github,TypeScript,1665,221,11038,69,325
sitaramc/gitolite,Perl,502,68,9113,13,2600
sjdy521/Mojo-Webqq,Perl,1356,7,16690,24,1411
sjdy521/Mojo-Weixin,Perl,824,6,10635,10,1348
skylot/jadx,Java,7513,3212,123101,40,2458
slackapi/hubot-slack,CoffeeScript,656,123,7657,58,2289
slackhq/SlackTextViewController,C,1768,169,11682,32,1173
slackhq/SlackTextViewController,Objective-C,1613,468,42594,52,1462
slackhq/SlackTextViewController,Swift,142,5,16713,7,1093
slick/slick,Python,46,3,555,4,1700
slick/slick,Scala,8150,1079,103127,140,3927
slimphp/Slim,PHP,6509,937,113899,227,3367
snabbco/snabb,C,6195,1113,333085,26,3504
snabbco/snabb,Lua,7707,1331,285971,58,3616
snabbco/snabb,Python,124,15,5460,8,1534
snowplow/snowplow,Java,197,29,3609,10,2460
snowplow/snowplow,JavaScript,317,42,10105,12,838
snowplow/snowplow,Ruby,1228,204,15253,22,2672
snowplow/snowplow,Scala,7921,518,123946,57,2731
socketio/socket.io,JavaScript,1402,387,34761,105,3058
soimort/you-get,Python,2387,853,27017,197,2610
sorich87/bootstrap-tour,CoffeeScript,443,102,6504,48,2287
sorich87/bootstrap-tour,JavaScript,1107,220,65192,36,1922
soyjavi/QuoJS,CoffeeScript,727,162,9559,27,1107
soyjavi/QuoJS,JavaScript,1089,100,33837,12,1215
spark-jobserver/spark-jobserver,Java,23,7,246,7,788
spark-jobserver/spark-jobserver,JavaScript,23,1,6054,8,1613
spark-jobserver/spark-jobserver,Python,41,8,922,8,497
spark-jobserver/spark-jobserver,Scala,2444,711,48246,107,2066
spf13/cobra,Go,806,235,20671,118,2236
spray/spray,JavaScript,131,21,7134,4,1544
spray/spray,Python,22,1,263,3,1029
spray/spray,Scala,11222,1194,141005,81,2098
spree/spree,CoffeeScript,274,131,2356,74,2278
spree/spree,JavaScript,2880,907,139421,134,4291
spree/spree,Lua,18,2,144,4,855
spree/spree,Ruby,42775,12033,691525,752,4301
spring-projects/spring-boot,Java,82390,11678,1107756,568,2420
spring-projects/spring-boot,JavaScript,42,3,42925,8,2240
spring-projects/spring-boot,Ruby,10,2,60,6,1956
spring-projects/spring-framework,Java,127646,29462,2413853,418,4170
spring-projects/spring-framework,JavaScript,65,5,292,12,3339
spring-projects/spring-framework,Ruby,31,0,123,6,3017
sqitchers/sqitch,Perl,5261,487,49291,29,2621
sqlitebrowser/sqlitebrowser,C,2198,359,427804,52,5926
sqlitebrowser/sqlitebrowser,C++,3829,996,252823,75,5937
sqlitebrowser/sqlitebrowser,TypeScript,405,59,215980,38,1873
square/okhttp,Java,9197,1559,217377,202,3119
square/picasso,Java,2401,298,33247,107,2418
square/retrofit,Java,3446,306,71528,119,3328
stedolan/jq,C,1445,462,79183,51,2653
stedolan/jq,JavaScript,17,6,4381,3,2175
stedolan/jq,Python,13,1,353,4,2358
storybookjs/storybook,C,13,1,80,6,492
storybookjs/storybook,Java,36,3,285,6,492
storybookjs/storybook,JavaScript,23640,4564,264186,586,1460
storybookjs/storybook,Objective-C,39,3,625,6,492
storybookjs/storybook,TypeScript,5910,1358,100186,179,1314
swiftmailer/swiftmailer,JavaScript,73,1,12721,5,2338
swiftmailer/swiftmailer,PHP,7199,1659,229489,149,4390
swoole/swoole-src,C,15508,4216,360641,154,2698
swoole/swoole-src,C++,4269,909,91781,44,2040
swoole/swoole-src,Go,23,3,274,4,1992
swoole/swoole-src,JavaScript,12,1,38,2,2017
swoole/swoole-src,PHP,2909,435,57818,52,2698
swoole/swoole-src,Python,8,1,144,4,1495
symfony/symfony,JavaScript,15,2,781,9,3221
symfony/symfony,PHP,106118,30572,1466102,2394,3627
syncthing/syncthing,Go,21032,6741,3038358,151,2184
syncthing/syncthing,JavaScript,858,338,109720,65,2165
taigaio/taiga-front,CoffeeScript,7371,1776,103866,36,1987
taigaio/taiga-front,JavaScript,1045,184,42413,19,1817
taigaio/taiga-front,Python,20,6,524,5,1253
taosdata/TDengine,C,2164,462,200484,25,153
taosdata/TDengine,Go,14,6,657,6,128
taosdata/TDengine,Java,35,9,2867,5,140
taosdata/TDengine,JavaScript,61,24,2675,1,83
taosdata/TDengine,Python,75,60,3680,2,118
tarantool/tarantool,C,18586,4304,909000,116,3375
tarantool/tarantool,C++,7267,2216,144005,70,3069
tarantool/tarantool,JavaScript,46,7,2105,3,1134
tarantool/tarantool,Lua,7904,2325,336707,106,3070
tarantool/tarantool,Objective-C,1700,491,54011,16,815
tarantool/tarantool,PHP,25,2,676,3,347
tarantool/tarantool,Perl,322,85,10206,12,1446
tarantool/tarantool,Python,1151,280,20109,38,3188
tarantool/tarantool,Ruby,20,6,426,6,2050
teamcapybara/capybara,JavaScript,66,13,10858,15,3660
teamcapybara/capybara,Ruby,7033,967,72725,262,3685
telegramdesktop/tdesktop,C,15991,2170,324993,31,1992
telegramdesktop/tdesktop,C++,26830,4916,919966,64,1992
telegramdesktop/tdesktop,Objective-C,488,134,21679,6,1971
telegramdesktop/tdesktop,Python,124,18,4184,3,1986
tensorflow/models,C,542,42,28772,14,1280
tensorflow/models,C++,856,52,80357,20,1353
tensorflow/models,Python,10262,1995,663267,517,1426
tensorflow/tensorflow,C,36677,4388,914321,689,1495
tensorflow/tensorflow,C++,89640,12174,3116477,1002,1494
tensorflow/tensorflow,Go,1013,84,4096623,58,1204
tensorflow/tensorflow,Java,1387,219,53650,116,1489
tensorflow/tensorflow,JavaScript,105,22,1484,16,575
tensorflow/tensorflow,Objective-C,276,48,15226,30,1278
tensorflow/tensorflow,Python,83438,14242,2798016,1668,1495
tensorflow/tensorflow,Swift,157,1,5666,4,245
tensorflow/tensorflow,TypeScript,2038,327,73627,46,581
tensorflow/tfjs,C,140,21,2150,8,655
tensorflow/tfjs,C++,283,54,9347,9,655
tensorflow/tfjs,JavaScript,416,79,30918,21,859
tensorflow/tfjs,Python,599,188,27980,27,853
tensorflow/tfjs,TypeScript,14278,2835,417818,158,859
tesseract-ocr/tesseract,C,5332,1385,217687,71,4655
tesseract-ocr/tesseract,C++,8197,2742,545364,97,4655
tesseract-ocr/tesseract,Java,63,35,2669,4,3802
tesseract-ocr/tesseract,Python,51,23,4356,11,2804
testerSunshine/12306,Python,703,96,10841,20,884
the-control-group/voyager,JavaScript,2174,143,707699,48,1114
the-control-group/voyager,PHP,5622,2265,102576,357,1134
thephpleague/flysystem,JavaScript,19,1,1324,1,475
thephpleague/flysystem,PHP,2202,826,33706,132,2233
thepracticaldev/dev.to,JavaScript,1135,421,30061,83,645
thepracticaldev/dev.to,Ruby,7201,2475,71998,169,650
thoughtbot/bourbon,Ruby,348,28,2717,33,2944
thoughtbot/paperclip,Ruby,3137,681,37739,341,4009
tmux/tmux,C,16637,3565,261043,42,4537
tmuxinator/tmuxinator,Ruby,685,182,7732,79,3278
tobie/ua-parser,C#,77,6,2196,6,676
tobie/ua-parser,Go,31,0,687,2,522
tobie/ua-parser,Java,92,28,2218,7,837
tobie/ua-parser,JavaScript,68,3,23768,4,1197
tobie/ua-parser,PHP,326,42,8872,10,949
tobie/ua-parser,Perl,18,1,3085,5,946
tobie/ua-parser,Python,70,20,1739,17,946
tootsuite/mastodon,CoffeeScript,31,4,93,1,222
tootsuite/mastodon,JavaScript,6031,2054,67483,250,1387
tootsuite/mastodon,Ruby,11028,3965,106695,258,1386
torch/torch7,C,1154,226,33298,112,2064
torch/torch7,Lua,428,97,11290,91,1992
tornadoweb/tornado,C,10,4,208,7,3724
tornadoweb/tornado,JavaScript,12,2,269,7,3212
tornadoweb/tornado,Python,6669,1366,100285,370,3732
torvalds/linux,Assembly,57,23,6268,24,4847
torvalds/linux,C,1693978,414281,42539088,26529,6655
torvalds/linux,C++,120,32,3326,32,5227
torvalds/linux,Perl,1455,396,51734,278,5256
torvalds/linux,Python,830,148,43613,139,4887
trekhleb/javascript-algorithms,JavaScript,997,152,24651,52,456
tristanhimmelman/ObjectMapper,C,21,0,229,4,1489
tristanhimmelman/ObjectMapper,Swift,1225,156,24932,93,1697
tsenart/vegeta,Go,679,146,29988,39,2273
turbolinks/turbolinks-classic,CoffeeScript,332,108,3031,51,1112
turbolinks/turbolinks-classic,Ruby,134,34,1429,21,1124
twbs/bootstrap,JavaScript,9544,1447,326022,300,3134
twbs/bootstrap,Python,11,3,263,4,631
twbs/bootstrap,Ruby,36,12,207,13,1343
twbs/bootstrap-sass,JavaScript,925,47,21815,14,2703
twbs/bootstrap-sass,Ruby,595,102,4487,31,2681
twitter-archive/flockdb,Ruby,13,1,1709,2,533
twitter-archive/flockdb,Scala,1380,233,13441,18,722
twitter-archive/gizzard,Ruby,18,2,906,4,47
twitter-archive/gizzard,Scala,2893,326,31099,29,793
twitter-archive/kestrel,Java,14,1,0,1,89
twitter-archive/kestrel,Scala,1781,305,29402,37,2707
twitter-archive/snowflake,Java,15,0,0,3,607
twitter-archive/snowflake,Ruby,16,1,70,4,1464
twitter-archive/snowflake,Scala,349,34,2511,14,1539
twitter/finagle,Java,902,154,69232,72,3336
twitter/finagle,Python,25,4,367,12,2415
twitter/finagle,Ruby,52,7,1015,9,1827
twitter/finagle,Scala,26146,5199,513750,370,3340
twitter/scalding,Java,103,15,5749,18,2127
twitter/scalding,Ruby,109,23,2203,30,2702
twitter/scalding,Scala,6313,913,140091,204,2885
twitter/summingbird,Java,186,11,2249,6,1330
twitter/summingbird,Scala,3725,475,58754,44,2226
twitter/twemproxy,C,592,104,12558,33,2212
twitter/twemproxy,Python,33,3,1802,6,1051
twitter/util,Java,251,20,6748,48,3324
twitter/util,Scala,5319,1023,131079,237,3412
tymondesigns/jwt-auth,PHP,2756,1054,23314,67,1830
typelevel/cats,Scala,8596,1560,104429,274,1777
typeorm/typeorm,JavaScript,22,4,909,5,1180
typeorm/typeorm,TypeScript,16649,4288,268431,321,1375
uglide/RedisDesktopManager,C,3151,339,204135,11,2259
uglide/RedisDesktopManager,C++,3365,523,308579,21,2260
uglide/RedisDesktopManager,JavaScript,58,22,2104,4,1741
uglide/RedisDesktopManager,Python,825,13,72520,2,2123
uglide/RedisDesktopManager,TypeScript,106,19,18531,16,1130
ustbhuangyi/better-scroll,JavaScript,1318,180,61941,24,1334
ustbhuangyi/better-scroll,TypeScript,1302,217,38067,15,738
v2ray/v2ray-core,Go,15190,1196,357233,50,1555
v8/v8,C,96521,15805,1294661,671,4178
v8/v8,C++,190440,35775,5043779,737,4178
v8/v8,JavaScript,34475,6752,1445442,409,4177
v8/v8,Lua,34,11,791,16,3155
v8/v8,Python,5919,778,150453,299,4176
v8/v8,TypeScript,318,88,4497,6,548
vapor/vapor,C,22,0,217018,7,1335
vapor/vapor,Swift,16445,1507,325317,134,1422
videolan/x265,Assembly,2195,200,383624,41,2188
videolan/x265,C,7947,691,106179,113,2384
videolan/x265,C++,16258,2327,483802,151,2384
videolan/x265,Python,20,0,319,3,614
virtualagc/virtualagc,C,1175,316,103615,13,4135
virtualagc/virtualagc,C++,147,24,35506,7,3807
virtualagc/virtualagc,Python,365,80,17353,4,3631
vnpy/vnpy,C,2737,29,700145,13,1698
vnpy/vnpy,C++,3137,32,475825,14,1663
vnpy/vnpy,Python,7054,514,537562,88,1718
vuejs/vue,JavaScript,7645,1947,479939,239,1333
vuejs/vue,TypeScript,223,96,2295,46,1162
vuetifyjs/vuetify,JavaScript,15474,4286,422213,190,1175
vuetifyjs/vuetify,TypeScript,3497,1485,58703,150,852
vurtun/nuklear,C,2698,982,288633,94,1671
vurtun/nuklear,C++,17,6,737,4,747
vurtun/nuklear,Objective-C,22,0,2339,3,354
wagoodman/dive,Go,922,178,23256,13,563
webmin/webmin,C,38,8,716,3,4042
webmin/webmin,Java,119,8,2852,2,3856
webmin/webmin,JavaScript,753,16,114962,7,3986
webmin/webmin,Perl,8588,2149,268644,67,4624
webmin/webmin,Python,16,2,2203,3,3714
webmin/webmin,Swift,107,7,364,3,3985
webpack/webpack,CoffeeScript,22,7,129,4,2316
webpack/webpack,JavaScript,22166,4680,303765,553,2826
webpack/webpack,TypeScript,223,49,5136,29,2500
wireapp/wire-android,Java,4922,572,67788,29,1437
wireapp/wire-android,Scala,8760,1808,211026,34,1439
x64dbg/x64dbg,C,4863,1133,157243,68,2201
x64dbg/x64dbg,C++,9505,2978,318519,92,2201
x64dbg/x64dbg,TypeScript,33,6,22266,2,49
xmartlabs/Eureka,Swift,1578,478,29538,126,1514
yahoo/kafka-manager,Scala,1189,139,21650,55,1553
yakyak/yakyak,CoffeeScript,1587,294,16409,65,1357
yakyak/yakyak,JavaScript,12,1,163,2,3
yarnpkg/yarn,JavaScript,6373,2842,93317,482,1417
ycm-core/YouCompleteMe,C,7381,129,624126,6,2731
ycm-core/YouCompleteMe,C++,17712,145,1715917,15,2777
ycm-core/YouCompleteMe,Python,2385,532,57623,59,2784
yiisoft/yii2,JavaScript,968,293,53924,89,2411
yiisoft/yii2,PHP,33998,10282,753124,871,3071
ytdl-org/youtube-dl,Python,20402,4733,299470,806,2939
yuki-kimoto/gitprep,JavaScript,134,0,7254,1,1626
yuki-kimoto/gitprep,PHP,8,1,149,1,808
yuki-kimoto/gitprep,Perl,1152,100,29421,6,2036
zxing/zxing,C,2051,128,37388,18,2104
zxing/zxing,C#,629,22,63181,4,1582
zxing/zxing,C++,1666,153,87298,20,1990
zxing/zxing,Java,8063,928,160422,82,4297
zxing/zxing,Objective-C,846,111,18623,11,2104
zxing/zxing,Python,381,0,47459,6,1879
