project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
Tencent/mars,Java,258,108,0,0,0,108,31,0,77,3988,9,1021
Tencent/mars,Objective-C,285,63,0,0,0,63,11,0,52,61425,9,1063
Tencent/mars,Python,158,55,0,0,1,54,13,0,42,3768,12,1058
Tencent/tinker,Java,1053,339,23,9,36,271,192,4,143,21878,20,1163
Tencent/wcdb,C,1184,44,0,0,2,42,14,0,30,99241,7,694
Tencent/wcdb,C++,791,46,0,1,2,43,14,0,32,13360,6,678
Tencent/wcdb,Java,215,31,0,5,6,20,14,0,17,7056,2,770
Tencent/wcdb,Objective-C,861,49,0,0,2,47,14,0,35,18895,8,741
Tencent/wcdb,Swift,2063,138,1,13,2,122,59,0,79,42519,8,500
TheAlgorithms/Java,Java,1450,458,4,0,5,449,411,10,37,36447,177,1242
TheAlgorithms/Python,Python,2565,254,11,0,4,239,127,1,126,76794,400,1239
Unitech/pm2,JavaScript,5267,1215,37,36,49,1093,507,44,664,86580,193,2394
Unitech/pm2,Python,9,1,0,0,0,1,1,0,0,42,3,1817
Unitech/pm2,TypeScript,17,3,0,0,0,3,0,0,3,3111,7,1053
WenchaoD/FSCalendar,C,775,92,2,0,4,86,49,1,42,5642,12,1393
WenchaoD/FSCalendar,Objective-C,1436,334,5,0,15,314,179,7,148,27379,23,1753
WenchaoD/FSCalendar,Swift,84,12,0,0,0,12,8,0,4,1637,6,1131
WordPress/WordPress,JavaScript,17226,8036,32,37,89,7878,4415,52,3569,1649844,73,6077
WordPress/WordPress,PHP,79864,39906,224,73,904,38705,18877,507,20522,1153007,93,6098
Wox-launcher/Wox,C#,4205,789,41,6,70,672,303,24,462,80366,76,2009
Wox-launcher/Wox,C++,14,1,0,0,0,1,0,0,1,345,1,18
Wox-launcher/Wox,Python,3027,315,0,0,1,314,1,0,314,430250,5,1207
XX-net/XX-Net,C,34,2,0,0,0,2,2,0,0,109548,4,515
XX-net/XX-Net,JavaScript,305,64,0,1,0,63,28,0,36,1134,9,1283
XX-net/XX-Net,Python,7814,2091,4,24,21,2042,632,80,1379,753028,59,1683
activeadmin/activeadmin,CoffeeScript,189,42,0,0,0,42,19,9,14,1333,39,2527
activeadmin/activeadmin,JavaScript,314,27,0,0,0,27,20,4,3,35581,22,3518
activeadmin/activeadmin,Ruby,7727,1420,28,4,53,1335,659,16,745,65623,385,3525
adam-p/markdown-here,JavaScript,744,268,2,14,9,243,176,2,90,57347,6,2330
adobe/brackets,C,49,1,0,1,0,0,1,0,0,8541,8,1457
adobe/brackets,C++,37,6,0,2,0,4,3,0,3,1609,10,1183
adobe/brackets,JavaScript,24687,5850,134,73,187,5456,3157,57,2636,1168280,425,2911
adobe/brackets,PHP,31,5,0,0,0,5,1,0,4,778,6,2426
adobe/brackets,Ruby,11,3,0,0,0,3,1,0,2,430,6,1509
airbnb/Lona,JavaScript,3262,106,3,0,1,102,64,0,42,72735,10,755
airbnb/Lona,Swift,3967,216,18,0,11,187,85,0,131,94794,11,775
airbnb/aerosolve,Java,894,101,0,0,0,101,16,0,85,25909,12,769
airbnb/aerosolve,Scala,839,67,2,0,1,64,17,0,50,27170,19,1298
airbnb/javascript,JavaScript,637,106,1,0,1,104,43,0,63,5087,85,1953
airbnb/lottie-android,Java,3770,893,28,4,99,762,518,25,350,56960,69,1215
airbnb/lottie-ios,C,1127,69,0,1,18,50,17,0,52,6349,33,1177
airbnb/lottie-ios,Objective-C,1157,175,5,2,32,136,52,5,118,20790,66,1177
airbnb/lottie-ios,Swift,485,102,0,5,4,93,58,0,44,14290,31,689
airbnb/react-sketchapp,JavaScript,1666,497,0,11,45,441,282,12,203,24058,38,1097
airbnb/react-sketchapp,TypeScript,162,12,0,0,0,12,0,0,12,2526,4,676
akka/akka,Java,14639,1596,15,66,58,1457,619,180,797,612988,295,3949
akka/akka,JavaScript,185,6,0,0,0,6,0,0,6,27686,18,3323
akka/akka,Python,75,13,0,0,0,13,6,1,6,895,21,2226
akka/akka,Scala,89853,12299,163,939,854,10343,6427,426,5446,1442225,764,3949
akveo/ngx-admin,JavaScript,11,0,0,0,0,0,0,0,0,41,4,338
akveo/ngx-admin,TypeScript,1391,326,0,0,3,323,117,1,208,24555,22,907
alcatraz/Alcatraz,C,313,18,0,0,1,17,12,0,6,1781,13,1140
alcatraz/Alcatraz,Objective-C,721,92,1,0,4,87,51,1,40,8179,27,1226
alexazhou/VeryNginx,JavaScript,243,62,1,0,0,61,30,0,32,3903,4,230
alexazhou/VeryNginx,Lua,353,88,4,2,3,79,24,0,64,5139,12,1000
alexazhou/VeryNginx,Python,72,9,0,0,0,9,5,0,4,1014,6,1237
algorithm-archivists/algorithm-archive,C,101,58,18,0,1,39,50,0,8,2513,10,647
algorithm-archivists/algorithm-archive,C#,125,50,34,0,0,16,50,0,0,1587,3,187
algorithm-archivists/algorithm-archive,C++,91,45,11,0,0,34,34,0,11,2954,15,678
