project,class,commits,bcommits,tins,devs,max_commit_age
apache/incubator-weex,Scripting_Dynamic_Allow_Managed,9465,1753,1594537,82,1297
apache/incubator-weex,Scripting_Dynamic_Disallow_Managed,67,0,22205,7,452
apache/openwhisk,Functional_Static_Disallow_Managed,7612,1045,180063,122,1387
apache/openwhisk,Procedural_Static_Allow_Unmanaged,11,2,31,5,574
apache/openwhisk,Procedural_Static_Disallow_Managed,1028,222,34558,50,1327
apache/openwhisk,Scripting_Dynamic_Allow_Managed,393,55,11399,49,1322
apache/openwhisk,Scripting_Dynamic_Disallow_Managed,293,59,5300,40,1329
apache/predictionio,Functional_Static_Disallow_Managed,9656,913,201771,77,2468
apache/predictionio,Procedural_Static_Disallow_Managed,1141,39,9658,13,1634
apache/predictionio,Scripting_Dynamic_Allow_Managed,542,16,67319,11,1634
apache/predictionio,Scripting_Dynamic_Disallow_Managed,414,46,7929,30,2029
apache/spark,Functional_Static_Disallow_Managed,86113,22245,1712826,1832,3538
apache/spark,Procedural_Static_Allow_Unmanaged,26,0,49,4,1651
apache/spark,Procedural_Static_Disallow_Managed,8606,1885,315814,428,3537
apache/spark,Scripting_Dynamic_Allow_Managed,209,52,10295,63,3296
apache/spark,Scripting_Dynamic_Disallow_Managed,6289,1481,158386,546,3403
apollographql/apollo-client,Scripting_Dynamic_Allow_Managed,363,60,28119,31,1357
apple/swift,Functional_Static_Disallow_Managed,132740,24359,1597909,665,3432
apple/swift,Procedural_Static_Allow_Unmanaged,143459,27156,2531290,580,3433
apple/swift,Scripting_Dynamic_Allow_Managed,9,2,719,7,2179
apple/swift,Scripting_Dynamic_Disallow_Managed,2711,612,57305,162,2695
apple/swift-package-manager,Functional_Static_Disallow_Managed,11841,1810,165782,236,1501
apple/swift-package-manager,Procedural_Static_Allow_Unmanaged,114,6,857,10,1288
aria2/aria2,Procedural_Static_Allow_Unmanaged,29652,4040,464276,34,4984
aria2/aria2,Scripting_Dynamic_Disallow_Managed,14,2,576,2,2103
arut/nginx-rtmp-module,Procedural_Static_Allow_Unmanaged,1407,398,51485,10,2029
aspnet/AspNetCore,Procedural_Static_Allow_Unmanaged,4318,352,265968,21,1184
aspnet/AspNetCore,Procedural_Static_Disallow_Managed,173068,20542,3490406,673,2190
aspnet/AspNetCore,Scripting_Dynamic_Allow_Managed,4435,512,820537,78,2129
aspnet/AspNetCore,Scripting_Dynamic_Disallow_Managed,197,1,16847,6,389
aspnet/AspNetCore.Docs,Procedural_Static_Disallow_Managed,18678,2402,380193,238,1712
aspnet/AspNetCore.Docs,Scripting_Dynamic_Allow_Managed,6492,677,2673901,57,1708
aspnet/AspNetCore.Docs,Scripting_Dynamic_Disallow_Managed,92,5,1729,11,626
aspnet/EntityFrameworkCore,Procedural_Static_Disallow_Managed,94379,21051,2134172,214,2147
aspnet/Mvc,Procedural_Static_Disallow_Managed,40342,8071,745148,196,1810
aspnet/Mvc,Scripting_Dynamic_Allow_Managed,55,7,443,12,1230
aspnetboilerplate/aspnetboilerplate,Procedural_Static_Disallow_Managed,16842,4221,236066,127,2305
aspnetboilerplate/aspnetboilerplate,Scripting_Dynamic_Allow_Managed,1779,221,494310,27,2304
astaxie/beego,Procedural_Static_Disallow_Managed,6842,1542,304645,394,2814
atom/vim-mode,Scripting_Dynamic_Allow_Managed,1502,370,19176,84,1020
awesomeWM/awesome,Procedural_Dynamic_Allow_Managed,4747,1250,90290,159,4222
awesomeWM/awesome,Procedural_Static_Allow_Unmanaged,11793,1548,129882,126,4459
awesomeWM/awesome,Scripting_Dynamic_Disallow_Managed,15,0,381,2,53
axios/axios,Scripting_Dynamic_Allow_Managed,1060,208,47001,123,1938
axkibe/lsyncd,Procedural_Dynamic_Allow_Managed,686,150,23786,19,2702
axkibe/lsyncd,Procedural_Static_Allow_Unmanaged,345,62,15740,5,3569
babel/babel,Scripting_Dynamic_Allow_Managed,74572,12231,903557,707,2634
